# These monthly factors should be applied to total annual emission factors in
# combination with the Weekday factors supplied in Weekdayfactor.all.
# origin: EMEP/MSC-W based on GENEMIS data.
# Formate: CC SNAPsector  JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC
24  7  0.840  0.878  0.980  1.011  1.038  1.048  1.066  1.073  1.049  1.067  1.012  0.931
46  7  0.850  0.890  0.978  1.017  1.037  1.050  1.050  1.049  1.055  1.074  1.010  0.932
10  7  0.834  0.878  0.973  1.010  1.040  1.053  1.075  1.076  1.050  1.067  1.010  0.927
 6  7  0.827  0.871  0.961  1.001  1.041  1.059  1.080  1.098  1.053  1.070  1.008  0.923
43  7  1.027  1.043  0.957  0.997  1.008  1.014  1.001  0.971  0.967  1.018  1.034  0.969
22  7  0.832  0.877  0.983  1.013  1.024  1.051  1.067  1.068  1.058  1.073  1.019  0.927
 7  7  0.812  0.829  0.946  0.997  1.053  1.079  1.121  1.121  1.063  1.070  0.991  0.906
 8  7  0.840  0.880  0.987  1.009  1.032  1.045  1.059  1.070  1.041  1.071  1.019  0.939
11  7  0.840  0.887  0.977  1.006  1.021  1.052  1.059  1.058  1.052  1.090  1.029  0.924
12  7  0.848  0.887  0.976  1.007  1.036  1.046  1.055  1.069  1.051  1.070  1.009  0.938
14  7  0.825  0.885  0.984  1.011  1.031  1.054  1.074  1.065  1.038  1.072  1.023  0.930
45  7  1.023  1.043  0.963  1.003  1.014  1.018  1.001  0.967  0.963  1.015  1.029  0.966
16  7  0.816  0.862  0.964  1.004  1.042  1.059  1.102  1.104  1.053  1.062  1.007  0.916
44  7  1.023  1.046  0.971  1.009  1.018  1.021  0.996  0.959  0.959  1.012  1.027  0.965
17  7  0.833  0.881  0.971  1.010  1.038  1.053  1.073  1.071  1.050  1.070  1.015  0.928
18  7  0.827  0.865  0.956  1.004  1.050  1.068  1.090  1.089  1.049  1.069  1.002  0.922
19  7  1.014  1.041  0.975  1.015  1.025  1.028  1.002  0.960  0.957  1.010  1.020  0.958
20  7  0.850  0.895  1.000  1.018  1.020  1.041  1.040  1.035  1.035  1.081  1.035  0.945
21  7  0.979  1.021  1.008  1.045  1.050  1.059  0.997  0.948  0.957  1.013  0.997  0.929
